Rk,Player,From,To,Yrs,G,MP_total,FG,FGA,3P,3PA,FT,FTA,ORB,TRB_total,AST_total,STL,BLK,TOV,PF,PTS_total,FG%,3P%,FT%,MP,PTS,TRB,AST
443,Monty Williams,1995,1996,2,55,565,67,155,0,8,22,46,51,115,53,22,4,46,96,156,.432,.000,.478,10.3,2.8,2.1,1.0
444,Ray Williams,1978,1984,5,399,11474,2601,5604,48,186,1305,1643,527,1500,2260,750,121,1237,1324,6555,.464,.258,.794,28.8,16.4,3.8,5.7
445,Shawne Williams,2011,2011,1,64,1323,164,385,85,212,41,49,60,239,47,39,51,46,164,454,.426,.401,.837,20.7,7.1,3.7,0.7
446,Shelden Williams,2011,2011,1,17,198,21,39,0,0,24,29,19,50,13,5,4,6,34,66,.538,,.828,11.6,3.9,2.9,0.8
447,Sly Williams,1980,1983,4,252,5438,1116,2250,6,40,550,790,418,1054,491,285,45,437,591,2788,.496,.150,.696,21.6,11.1,4.2,1.9
448,Kennard Winchester,1992,1992,1,15,64,12,27,1,2,8,10,6,15,8,2,2,2,4,33,.444,.500,.800,4.3,2.2,1.0,0.5
449,David Wingate,1999,2000,2,27,124,8,25,0,0,0,0,4,10,8,5,2,8,17,16,.320,,,4.6,0.6,0.4,0.3
450,Harthorne Wingo,1973,1976,4,212,2814,396,863,,,231,329,281,745,128,74,57,,368,1023,.459,,.702,13.3,4.8,3.5,0.6
451,Mike Woodson,1981,1981,1,81,949,165,373,1,5,49,64,33,97,75,36,12,54,95,380,.442,.200,.766,11.7,4.7,1.2,0.9
452,Qyntel Woods,2006,2006,1,49,1013,129,254,22,60,49,76,44,190,47,32,13,61,96,329,.508,.367,.645,20.7,6.7,3.9,1.0
453,Metta World Peace,2014,2014,1,29,388,56,141,17,54,10,16,18,59,17,24,8,19,44,139,.397,.315,.625,13.4,4.8,2.0,0.6
454,Brad Wright,1987,1987,1,14,138,20,46,0,1,12,28,25,53,1,3,6,13,20,52,.435,.000,.429,9.9,3.7,3.8,0.1
455,Max Zaslofsky,1951,1953,3,161,2835,747,2131,,,616,820,,497,347,,,,414,2110,.351,,.751,29.8,13.1,3.1,2.2
