Rk,Player,From,To,Yrs,G,MP_total,FG,FGA,3P,3PA,FT,FTA,ORB,TRB_total,AST_total,STL,BLK,TOV,PF,PTS_total,FG%,3P%,FT%,MP,PTS,TRB,AST
153,Nenad Krstic,2009,2011,3,169,3900,624,1272,1,5,192,251,296,843,100,71,111,136,398,1441,.491,.200,.765,23.1,8.5,5.0,0.6
154,Ibo Kutluay,2005,2005,1,5,12,0,1,0,0,0,0,0,1,0,0,0,2,1,0,.000,,,2.4,0.0,0.2,0.0
155,Tom LaGarde,1979,1980,2,105,1739,244,487,0,0,147,232,188,502,123,25,52,144,281,635,.501,,.634,16.6,6.0,4.8,1.2
156,Jeremy Lamb,2013,2015,3,148,2318,391,927,135,388,114,133,40,314,164,79,34,94,208,1031,.422,.348,.857,15.7,7.0,2.1,1.1
157,Rashard Lewis,1999,2007,9,617,20921,3762,8162,973,2519,1754,2191,1019,3595,1051,708,362,984,1477,10251,.461,.386,.801,33.9,16.6,5.8,1.7
158,DeAndre Liggins,2013,2013,1,39,290,21,47,7,19,9,18,13,53,15,18,3,14,33,58,.447,.368,.500,7.4,1.5,1.4,0.4
159,Alton Lister,1987,1989,3,239,5906,790,1573,1,3,408,631,630,1877,222,87,500,376,918,1989,.502,.333,.647,24.7,8.3,7.9,0.9
160,Randy Livingston,2002,2007,2,17,202,15,57,1,8,10,11,10,26,30,9,2,3,13,41,.263,.125,.909,11.9,2.4,1.5,1.8
161,Shaun Livingston,2009,2010,2,18,320,33,68,0,2,6,6,7,46,30,10,4,14,17,72,.485,.000,1.000,17.8,4.0,2.6,1.7
162,Art Long,2002,2002,1,63,989,120,244,0,0,45,85,107,251,41,22,28,63,180,285,.492,,.529,15.7,4.5,4.0,0.7
163,Plummer Lott,1968,1969,2,67,638,63,214,,,21,36,,123,43,,,,74,147,.294,,.583,9.5,2.2,1.8,0.6
164,Bob Love,1977,1977,1,32,450,45,121,,,41,47,26,87,21,13,2,,50,131,.372,,.872,14.1,4.1,2.7,0.7
165,John Lucas,1989,1989,1,74,842,119,299,18,68,54,77,22,79,260,60,1,66,53,310,.398,.265,.701,11.4,4.2,1.1,3.5
166,Maurice Lucas,1987,1987,1,63,1120,175,388,0,5,150,187,88,307,65,34,21,75,171,500,.451,.000,.802,17.8,7.9,4.9,1.0
167,Don MacLean,1999,1999,1,17,365,63,159,9,33,50,80,18,65,16,5,5,25,34,185,.396,.273,.625,21.5,10.9,3.8,0.9
168,Sarunas Marciulionis,1995,1995,1,66,1194,216,457,35,87,145,198,17,68,110,72,3,98,126,612,.473,.402,.732,18.1,9.3,1.0,1.7
169,Donyell Marshall,2008,2008,1,15,184,19,54,7,30,12,13,15,46,5,4,7,9,15,57,.352,.233,.923,12.3,3.8,3.1,0.3
170,Vester Marshall,1974,1974,1,13,174,7,29,,,3,7,14,37,4,4,3,,20,17,.241,,.429,13.4,1.3,2.8,0.3
171,Brian Martin,1986,1986,1,3,7,1,2,0,0,0,0,1,4,0,0,1,2,2,2,.500,,,2.3,0.7,1.3,0.0
172,Kevin Martin,2013,2013,1,77,2136,350,778,158,371,219,246,31,178,106,72,8,101,138,1077,.450,.426,.890,27.7,14.0,2.3,1.4
173,Desmond Mason,2001,2009,4,244,6817,961,2160,50,184,448,594,293,1092,308,168,98,287,548,2420,.445,.272,.754,27.9,9.9,4.5,1.3
174,Vernon Maxwell,2000,2000,1,47,989,169,490,67,223,108,148,15,79,75,38,9,53,83,513,.345,.300,.730,21.0,10.9,1.7,1.6
