Rk,Player,From,To,Yrs,G,MP_total,FG,FGA,3P,3PA,FT,FTA,ORB,TRB_total,AST_total,STL,BLK,TOV,PF,PTS_total,FG%,3P%,FT%,MP,PTS,TRB,AST
378,Chuck Share,1952,1954,3,151,2081,176,525,,,286,419,,766,150,,,,380,638,.335,,.683,13.8,4.2,5.1,1.0
379,Walter Sharpe,2009,2009,1,8,20,4,11,0,2,0,2,0,3,0,0,2,0,3,8,.364,.000,.000,2.5,1.0,0.4,0.0
380,Steve Sheppard,1979,1979,1,20,76,12,25,,,8,15,9,19,4,3,1,4,10,32,.480,,.533,3.8,1.6,1.0,0.2
381,Gene Shue,1957,1962,6,440,17390,2940,7294,,,2154,2595,,2204,1931,,,,961,8034,.403,,.830,39.5,18.3,5.0,4.4
382,John Shumate,1978,1980,2,71,2398,351,687,0,0,343,434,143,624,131,85,48,200,158,1045,.511,,.790,33.8,14.7,8.8,1.8
383,Ralph Simpson,1977,1978,2,109,2336,499,1180,,,192,259,75,263,267,100,8,78,148,1190,.423,,.741,21.4,10.9,2.4,2.4
384,Kyle Singler,2013,2015,3,218,5917,684,1594,240,633,281,344,248,772,219,151,89,219,526,1889,.429,.379,.817,27.1,8.7,3.5,1.0
385,Zeke Sinicola,1952,1954,2,12,48,5,20,,,3,8,,2,3,,,,10,13,.250,,.375,4.0,1.1,0.2,0.3
386,Peyton Siva,2014,2014,1,24,224,18,57,7,25,11,15,2,14,34,9,1,18,27,54,.316,.280,.733,9.3,2.3,0.6,1.4
387,Al Skinner,1978,1978,1,69,1274,181,387,,,123,159,53,172,113,52,15,132,208,485,.468,,.774,18.5,7.0,2.5,1.6
388,Jack Smiley,1949,1949,1,59,,141,571,,,112,164,,,138,,,,202,394,.247,,.683,,6.7,,2.3
389,Jim Smith,1983,1983,1,4,18,3,4,0,0,2,4,0,5,0,0,0,0,4,8,.750,,.500,4.5,2.0,1.3,0.0
390,Joe Smith,2001,2001,1,69,1941,308,765,0,5,231,287,160,491,79,47,50,88,258,847,.403,.000,.805,28.1,12.3,7.1,1.1
391,Josh Smith,2014,2015,2,105,3626,670,1624,79,302,212,412,154,722,384,142,158,271,279,1631,.413,.262,.515,34.5,15.5,6.9,3.7
392,Kenny Smith,1997,1997,1,9,64,8,20,5,10,2,2,0,5,10,1,0,3,2,23,.400,.500,1.000,7.1,2.6,0.6,1.1
393,Odie Spears,,1957,1,72,1378,166,468,0,0,159,201,0,231,121,0,0,0,191,491,1.000,.000,1.000,0.3,0.1,0.0,0.0
394,Jerry Stackhouse,1998,2002,5,337,12033,2394,5873,401,1336,2262,2741,397,1242,1470,369,184,1174,709,7451,.408,.300,.825,35.7,22.1,3.7,4.4
395,Larry Staverman,1964,1964,1,20,255,44,82,,,26,39,,69,12,,,,50,114,.537,,.667,12.8,5.7,3.5,0.6
396,Brook Steppe,1985,1985,1,54,486,83,178,0,1,87,104,25,57,36,16,4,43,61,253,.466,.000,.837,9.0,4.7,1.1,0.7
397,Joe Strawder,1966,1968,3,231,6365,737,1729,,,503,733,,2296,245,,,,961,1977,.426,,.686,27.6,8.6,9.9,1.1
398,Rodney Stuckey,2008,2014,7,483,14045,2298,5429,182,637,1713,2070,358,1424,1888,453,76,934,1094,6491,.423,.286,.828,29.1,13.4,2.9,3.9
399,DaJuan Summers,2010,2011,2,66,604,74,199,24,63,36,58,16,57,18,11,8,29,73,208,.372,.381,.621,9.2,3.2,0.9,0.3
400,Bob Sura,2004,2004,1,53,707,71,173,9,36,48,69,30,103,89,37,9,39,86,199,.410,.250,.696,13.3,3.8,1.9,1.7
401,Earl Tatum,1979,1979,1,76,1195,272,607,,,48,66,40,121,72,78,33,85,158,592,.448,,.727,15.7,7.8,1.6,0.9
402,Jeff Taylor,1987,1987,1,12,44,6,10,0,0,9,10,1,4,3,2,1,8,4,21,.600,,.900,3.7,1.8,0.3,0.3
403,Terry Teagle,1985,1985,1,2,5,1,2,0,0,0,0,0,0,0,0,0,1,2,2,.500,,,2.5,1.0,0.0,0.0
404,Bill Thieben,1957,1958,2,85,876,132,399,,,73,114,,272,24,,,,122,337,.331,,.640,10.3,4.0,3.2,0.3
405,Justus Thigpen,1973,1973,1,18,99,23,57,,,0,0,,9,8,,,,18,46,.404,,,5.5,2.6,0.5,0.4
406,David Thirdkill,1984,1985,2,56,406,43,95,0,2,20,42,13,39,28,13,5,31,60,106,.453,.000,.476,7.3,1.9,0.7,0.5
407,Charles Thomas,1992,1992,1,36,156,18,51,2,17,10,15,6,22,22,4,1,17,20,48,.353,.118,.667,4.3,1.3,0.6,0.6
408,Isiah Thomas,1982,1994,13,979,35516,7194,15904,398,1373,4036,5316,951,3478,9061,1861,249,3682,2971,18822,.452,.290,.759,36.3,19.2,3.6,9.3
409,Terry Thomas,1976,1976,1,28,136,28,65,,,21,29,15,36,3,4,2,,21,77,.431,,.724,4.9,2.8,1.3,0.1
410,Rod Thorn,1965,1966,2,101,2585,463,1093,,,266,366,,367,225,,,,189,1192,.424,,.727,25.6,11.8,3.6,2.2
411,Otis Thorpe,1996,1997,2,161,5502,871,1640,0,6,455,665,437,1310,291,112,56,340,598,2197,.531,.000,.684,34.2,13.6,8.1,1.8
412,Ray Tolbert,1983,1984,2,77,870,121,245,0,2,51,104,71,189,45,22,43,58,144,293,.494,.000,.490,11.3,3.8,2.5,0.6
413,Anthony Tolliver,2015,2016,2,85,1805,189,468,125,348,60,80,62,302,76,36,24,50,158,563,.404,.359,.750,21.2,6.6,3.6,0.9
414,Bob Tough,1949,1949,1,53,,183,661,,,100,138,,,99,,,,101,466,.277,,.725,,8.8,,1.9
415,Blackie Towery,1949,1949,1,22,,56,216,,,52,73,,,35,,,,79,164,.259,,.712,,7.5,,1.6
416,George Trapp,1974,1977,4,242,4120,914,1976,,,264,357,251,828,197,117,71,,616,2092,.463,,.739,17.0,8.6,3.4,0.8
417,John Tresvant,1966,1968,3,169,3980,665,1504,,,462,670,,1302,264,,,,621,1792,.442,,.690,23.6,10.6,7.7,1.6
418,Dick Triptow,1949,1949,1,55,,116,417,,,102,141,,,96,,,,107,334,.278,,.723,,6.1,,1.7
419,Kelly Tripucka,1982,1986,5,352,12123,2807,5800,35,106,1948,2340,646,1579,1135,363,77,958,873,7597,.484,.330,.832,34.4,21.6,4.5,3.2
420,Terry Tyler,1979,1985,7,574,15917,2854,5835,7,60,923,1324,1223,3583,776,615,1070,874,1452,6638,.489,.117,.697,27.7,11.6,6.2,1.4
421,Tom Van Arsdale,1966,1968,3,208,5007,773,2028,,,582,773,,782,477,,,,611,2128,.381,,.753,24.1,10.2,3.8,2.3
422,Ratko Varda,2002,2002,1,1,6,2,3,0,0,1,1,0,1,0,0,0,1,3,5,.667,,1.000,6.0,5.0,1.0,0.0
423,Chico Vaughn,1966,1967,2,88,1454,195,508,,,110,156,,130,179,,,,114,500,.384,,.705,16.5,5.7,1.5,2.0
424,Loy Vaught,1999,2000,2,80,773,91,244,0,4,20,30,62,237,22,21,10,28,99,202,.373,.000,.667,9.7,2.5,3.0,0.3
425,Charlie Villanueva,2010,2014,5,256,4966,921,2182,343,965,236,316,199,983,167,132,146,193,535,2421,.422,.355,.747,19.4,9.5,3.8,0.7
426,Clint Wager,1950,1950,1,63,,57,203,,,29,47,,,90,,,,175,143,.281,,.617,,2.3,,1.4
427,Andre Wakefield,1979,1979,1,71,578,62,176,,,48,69,25,76,69,19,2,71,68,172,.352,,.696,8.1,2.4,1.1,1.0
428,Darrell Walker,1992,1993,2,83,1685,164,400,0,11,67,111,89,257,214,73,18,92,146,395,.410,.000,.604,20.3,4.8,3.1,2.6
429,Jimmy Walker,1968,1972,5,388,11941,2425,5384,,,1412,1738,,972,1278,,,,950,6262,.450,,.812,30.8,16.1,2.5,3.3
430,Ben Wallace,2001,2012,9,655,21358,1786,3747,6,42,759,1815,2286,7264,997,931,1486,710,1306,4337,.477,.143,.418,32.6,6.6,11.1,1.5
431,John Wallace,2001,2001,1,40,527,100,236,2,15,35,45,25,83,23,13,16,36,72,237,.424,.133,.778,13.2,5.9,2.1,0.6
432,Rasheed Wallace,2004,2009,6,399,13028,2082,4843,581,1669,611,820,526,2890,719,399,623,480,1162,5356,.430,.348,.745,32.7,13.4,7.2,1.8
433,Paul Walther,1955,1955,1,68,820,56,161,,,54,88,,155,131,,,,115,166,.348,,.614,12.1,2.4,2.3,1.9
434,Bob Warlick,1966,1966,1,10,78,11,38,,,2,6,,16,10,,,,8,24,.289,,.333,7.8,2.4,1.6,1.0
435,Chris Webber,2007,2007,1,43,1277,200,409,2,6,84,132,87,288,127,42,26,74,107,486,.489,.333,.636,29.7,11.3,6.7,3.0
436,Mark West,1995,1996,2,114,2225,278,516,0,0,94,183,209,541,24,33,139,120,382,650,.539,,.514,19.5,5.7,4.7,0.2
437,Rodney White,2002,2002,1,16,129,21,60,2,9,12,14,2,18,12,9,2,14,6,56,.350,.222,.857,8.1,3.5,1.1,0.8
438,Chris Wilcox,2010,2011,2,91,1436,250,442,0,1,76,141,139,388,56,42,29,81,209,576,.566,.000,.539,15.8,6.3,4.3,0.6
439,James Wilkes,1983,1983,1,9,129,11,34,0,1,12,15,9,19,10,3,1,5,22,34,.324,.000,.800,14.3,3.8,2.1,1.1
440,Dale Wilkinson,1985,1985,1,2,7,0,2,0,0,0,0,0,1,0,0,0,0,2,0,.000,,,3.5,0.0,0.5,0.0
441,Damien Wilkins,2012,2012,1,60,922,76,193,7,23,34,54,22,100,44,29,13,30,85,193,.394,.304,.630,15.4,3.2,1.7,0.7
442,Corliss Williamson,2001,2004,4,266,6136,1261,2556,3,16,688,902,405,1101,283,158,81,421,755,3213,.493,.188,.763,23.1,12.1,4.1,1.1
443,Cliff Williams,1969,1969,1,3,18,2,9,,,0,0,,3,2,,,,7,4,.222,,,6.0,1.3,1.0,0.7
444,Earl Williams,1976,1976,1,46,562,73,152,,,22,44,103,251,18,22,20,,81,168,.480,,.500,12.2,3.7,5.5,0.4
445,Jerome Williams,1997,2001,5,275,5542,640,1244,0,6,464,716,725,1845,178,261,49,266,547,1744,.514,.000,.648,20.2,6.3,6.7,0.6
